Model,TDP
Intel Xeon Silver 4309Y,105
Intel Xeon Silver 4310T,105
Intel Xeon Silver 4310,120
Intel Xeon Silver 4314,135
Intel Xeon Silver 4316,150
Intel Xeon Gold 5315Y,140
Intel Xeon Gold 5317,150
Intel Xeon Gold 5318N,150
Intel Xeon Gold 5318S,165
Intel Xeon Gold 5318Y,165
Intel Xeon Gold 5320T,150
Intel Xeon Gold 5320,185
Intel Xeon Gold 6326,185
Intel Xeon Gold 6330,205
Intel Xeon Gold 6330N,165
Intel Xeon Gold 6334,165
Intel Xeon Gold 6336Y,185
Intel Xeon Gold 6338T,165
Intel Xeon Gold 6338,205
Intel Xeon Gold 6338N,185
Intel Xeon Gold 6342,230
Intel Xeon Gold 6346,205
Intel Xeon Gold 6348,235
Intel Xeon Gold 6354,205
Intel Xeon Platinum 8347C,210
Intel Xeon Platinum 8351N,225
Intel Xeon Platinum 8352M,185
Intel Xeon Platinum 8352S,205
Intel Xeon Platinum 8352V,195
Intel Xeon Platinum 8352Y,205
Intel Xeon Platinum 8357C,240
Intel Xeon Platinum 8358,250
Intel Xeon Platinum 8358P,240
Intel Xeon Platinum 8360Y,250
Intel Xeon Platinum 8362,265
Intel Xeon Platinum 8368,270
Intel Xeon Platinum 8368Q,270
Intel Xeon Platinum 8372C,300
Intel Xeon Platinum 8373C,300
Intel Xeon Platinum 8375C,300
Intel Xeon Platinum 8380,270
Intel Xeon W-3323,220
Intel Xeon W-3335,250
Intel Xeon W-3345,250
Intel Xeon W-3365,270
Intel Xeon W-3375,270
Intel Xeon Gold 5318H,150
Intel Xeon Gold 5320H,150
Intel Xeon Gold 6328H,165
Intel Xeon Gold 6328HL,165
Intel Xeon Gold 6330H,150
Intel Xeon Gold 6348H,165
Intel Xeon Platinum 8353H,150
Intel Xeon Platinum 8354H,205
Intel Xeon Platinum 8356H,190
Intel Xeon Platinum 8360H,225
Intel Xeon Platinum 8360HL,225
Intel Xeon Platinum 8376H,205
Intel Xeon Platinum 8376HL,205
Intel Xeon Platinum 8380H,250
Intel Xeon Platinum 8380HL,250
Intel Xeon X3430,95
Intel Xeon X3440,95
Intel Xeon X3450,95
Intel Xeon X3460,95
Intel Xeon X3470,95
Intel Xeon X3480,95
Intel Xeon L3426,45
Intel Xeon W3503,130
Intel Xeon W3505,130
Intel Xeon W3520,130
Intel Xeon W3530,130
Intel Xeon W3540,130
Intel Xeon W3550,130
Intel Xeon W3565,130
Intel Xeon W3570,130
Intel Xeon W3580,130
Intel Xeon LC3518,23
Intel Xeon LC3528,35
Intel Xeon EC3539,65
Intel Xeon L3403,30
Intel Xeon L3406,30
Intel Xeon W3670,130
Intel Xeon W3680,130
Intel Xeon W3690,130
Intel Xeon E5502,80
Intel Xeon E5503,80
Intel Xeon L5508,38
Intel Xeon E5504,80
Intel Xeon E5506,80
Intel Xeon E5507,80
Intel Xeon E5520,80
Intel Xeon E5530,80
Intel Xeon E5540,80
Intel Xeon X5550,95
Intel Xeon X5560,95
Intel Xeon X5570,95
Intel Xeon W5580,130
Intel Xeon W5590,130
Intel Xeon L5506,60
Intel Xeon L5518,60
Intel Xeon L5520,60
Intel Xeon L5530,60
Intel Xeon EC5539,65
Intel Xeon EC5509,85
Intel Xeon EC5549,85
Intel Xeon LC5518,48
Intel Xeon LC5528,60
Intel Xeon X5698,130
Intel Xeon E5603,80
Intel Xeon E5606,80
Intel Xeon E5607,80
Intel Xeon E5620,80
Intel Xeon E5630,80
Intel Xeon E5640,80
Intel Xeon X5647,130
Intel Xeon X5667,95
Intel Xeon X5672,95
Intel Xeon X5677,130
Intel Xeon X5687,130
Intel Xeon L5609,40
Intel Xeon L5618,40
Intel Xeon L5630,40
Intel Xeon E5645,80
Intel Xeon E5649,80
Intel Xeon X5650,95
Intel Xeon X5660,95
Intel Xeon X5670,95
Intel Xeon X5675,95
Intel Xeon X5679,115
Intel Xeon X5680,130
Intel Xeon X5690,130
Intel Xeon L5638,60
Intel Xeon L5639,60
Intel Xeon L5640,60
Intel Xeon L5645,60
Intel Xeon E6510,105
Intel Xeon E7520,105
Intel Xeon E7530,105
Intel Xeon E6540,105
Intel Xeon E7540,105
Intel Xeon X7542,130
Intel Xeon L7545,95
Intel Xeon X6550,130
Intel Xeon X7550,130
Intel Xeon X7560,130
Intel Xeon L7555,95
Intel Xeon E7-2803,105
Intel Xeon E7-4807,95
Intel Xeon E7-2820,105
Intel Xeon E7-2830,105
Intel Xeon E7-4820,105
Intel Xeon E7-4830,105
Intel Xeon E7-8830,105
Intel Xeon E7-8837,130
Intel Xeon E7-2850,130
Intel Xeon E7-2860,130
Intel Xeon E7-2870,130
Intel Xeon E7-4850,130
Intel Xeon E7-4860,130
Intel Xeon E7-4870,130
Intel Xeon E7-8850,130
Intel Xeon E7-8860,130
Intel Xeon E7-8870,130
Intel Xeon E7-8867L,105
Intel Xeon 3040,65
Intel Xeon 3050,65
Intel Xeon 3040,65
Intel Xeon 3050,65
Intel Xeon 3060,65
Intel Xeon 3065,65
Intel Xeon 3070,65
Intel Xeon 3075,65
Intel Xeon 3085,65
Intel Xeon 5110,65
Intel Xeon 5120,65
Intel Xeon 5130,65
Intel Xeon 5140,65
Intel Xeon 5150,65
Intel Xeon 5160,80
Intel Xeon LV 5113,40
Intel Xeon LV 5128,40
Intel Xeon LV 5133,40
Intel Xeon LV 5138,35
Intel Xeon LV 5148,40
Intel Xeon L3014,30
Intel Xeon E3113,65
Intel Xeon E3110,65
Intel Xeon E3120,65
Intel Xeon L3110,45
Intel Xeon E5205,65
Intel Xeon E5220,65
Intel Xeon E5240,65
Intel Xeon X5260,80
Intel Xeon X5270,80
Intel Xeon X5272,80
Intel Xeon L5215,20
Intel Xeon L5238,35
Intel Xeon L5240,40
Intel Xeon L5248,55
Intel Xeon X3210,100
Intel Xeon X3220,100
Intel Xeon X3230,100
Intel Xeon X3320,95
Intel Xeon X3330,95
Intel Xeon X3350,95
Intel Xeon X3360,95
Intel Xeon X3370,95
Intel Xeon X3380,95
Intel Xeon L3360,65
Intel Xeon X3323,80
Intel Xeon X3353,80
Intel Xeon X3363,80
Intel Xeon E5310,80
Intel Xeon E5320,80
Intel Xeon E5330,80
Intel Xeon E5335,80
Intel Xeon E5340,80
Intel Xeon E5345,80
Intel Xeon E5350,120
Intel Xeon X5355,120
Intel Xeon X5365,120
Intel Xeon L5310,50
Intel Xeon L5318,40
Intel Xeon L5320,50
Intel Xeon L5335,50
Intel Xeon E5405,80
Intel Xeon E5410,80
Intel Xeon E5420,80
Intel Xeon E5430,80
Intel Xeon E5440,80
Intel Xeon E5450,80
Intel Xeon X5450,120
Intel Xeon X5460,120
Intel Xeon E5462,80
Intel Xeon X5470,120
Intel Xeon E5472,80
Intel Xeon X5472,120
Intel Xeon X5482,150
Intel Xeon X5492,150
Intel Xeon L5408,40
Intel Xeon L5410,50
Intel Xeon L5420,50
Intel Xeon L5430,50
Intel Xeon E7210,80
Intel Xeon E7220,80
Intel Xeon E7310,80
Intel Xeon E7320,80
Intel Xeon E7330,80
Intel Xeon E7340,80
Intel Xeon X7350,130
Intel Xeon L7345,50
Intel Xeon E7420,90
Intel Xeon E7430,90
Intel Xeon E7440,90
Intel Xeon L7445,50
Intel Xeon E7450,90
Intel Xeon E7458,90
Intel Xeon X7460,130
Intel Xeon L7455,65
Intel Xeon E3-1105C,25
Intel Xeon E3-1125C,40
Intel Xeon E3-1220L,20
Intel Xeon E3-1220,80
Intel Xeon E3-1225,95
Intel Xeon E3-1230,80
Intel Xeon E3-1235,95
Intel Xeon E3-1240,80
Intel Xeon E3-1245,95
Intel Xeon E3-1270,80
Intel Xeon E3-1275,95
Intel Xeon E3-1280,95
Intel Xeon E3-1290,95
Intel Xeon E3-1260L,45
Intel Xeon E3-1265L,45
Intel Xeon E5-1410,80
Intel Xeon E5-1428L,60
Intel Xeon E5-2403,80
Intel Xeon E5-2407,80
Intel Xeon E5-2418L,50
Intel Xeon E5-2420,95
Intel Xeon E5-2430,95
Intel Xeon E5-2440,95
Intel Xeon E5-2428L,60
Intel Xeon E5-2430L,60
Intel Xeon E5-2450,95
Intel Xeon E5-2470,95
Intel Xeon E5-2448L,70
Intel Xeon E5-2449L,50
Intel Xeon E5-2450L,70
Intel Xeon E5-1603,130
Intel Xeon E5-1607,130
Intel Xeon E5-1620,130
Intel Xeon E5-1650,130
Intel Xeon E5-1660,130
Intel Xeon E5-2637,80
Intel Xeon E5-2603,80
Intel Xeon E5-2609,80
Intel Xeon E5-2643,130
Intel Xeon E5-2618L,40
Intel Xeon E5-2620,95
Intel Xeon E5-2630,95
Intel Xeon E5-2640,95
Intel Xeon E5-2667,130
Intel Xeon E5-2628L,60
Intel Xeon E5-2630L,60
Intel Xeon E5-2650,95
Intel Xeon E5-2658,95
Intel Xeon E5-2660,95
Intel Xeon E5-2665,115
Intel Xeon E5-2670,115
Intel Xeon E5-2689,115
Intel Xeon E5-2680,130
Intel Xeon E5-2690,135
Intel Xeon E5-2687W,150
Intel Xeon E5-2648L,70
Intel Xeon E5-2650L,70
Intel Xeon E5-4603,95
Intel Xeon E5-4607,95
Intel Xeon E5-4610,95
Intel Xeon E5-4617,130
Intel Xeon E5-4620,95
Intel Xeon E5-4640,95
Intel Xeon E5-4650,130
Intel Xeon E5-4650L,115
Intel Xeon E3-1105C v2,25
Intel Xeon E3-1125C v2,40
Intel Xeon E3-1135C v2,55
Intel Xeon E3-1220L v2,17
Intel Xeon E3-1220 v2,69
Intel Xeon E3-1225 v2,77
Intel Xeon E3-1230 v2,69
Intel Xeon E3-1240 v2,69
Intel Xeon E3-1245 v2,77
Intel Xeon E3-1270 v2,69
Intel Xeon E3-1275 v2,77
Intel Xeon E3-1280 v2,69
Intel Xeon E3-1285 v2,77
Intel Xeon E3-1290 v2,87
Intel Xeon E3-1265L v2,45
Intel Xeon E3-1285L v2,65
Intel Xeon E5-1410 v2,80
Intel Xeon E5-1428L v2,60
Intel Xeon E5-2403 v2,80
Intel Xeon E5-2407 v2,80
Intel Xeon E5-2420 v2,80
Intel Xeon E5-2430 v2,80
Intel Xeon E5-2418L v2,50
Intel Xeon E5-2430L v2,60
Intel Xeon E5-2440 v2,95
Intel Xeon E5-2450 v2,95
Intel Xeon E5-2428L v2,60
Intel Xeon E5-2470 v2,95
Intel Xeon E5-2448L v2,70
Intel Xeon E5-2450L v2,60
Intel Xeon E5-1607 v2,130
Intel Xeon E5-1620 v2,130
Intel Xeon E5-1650 v2,130
Intel Xeon E5-1660 v2,130
Intel Xeon E5-1680 v2,130
Intel Xeon E5-2603 v2,80
Intel Xeon E5-2609 v2,80
Intel Xeon E5-2637 v2,130
Intel Xeon E5-2620 v2,80
Intel Xeon E5-2630 v2,80
Intel Xeon E5-2643 v2,130
Intel Xeon E5-2618L v2,50
Intel Xeon E5-2630L v2,60
Intel Xeon E5-2640 v2,95
Intel Xeon E5-2650 v2,95
Intel Xeon E5-2667 v2,130
Intel Xeon E5-2673 v2,110
Intel Xeon E5-2687W v2,150
Intel Xeon E5-2628L v2,70
Intel Xeon E5-2658 v2,95
Intel Xeon E5-2660 v2,95
Intel Xeon E5-2670 v2,115
Intel Xeon E5-2680 v2,115
Intel Xeon E5-2690 v2,130
Intel Xeon E5-2648L v2,70
Intel Xeon E5-2650L v2,70
Intel Xeon E5-2651 v2,105
Intel Xeon E5-2692 v2,115
Intel Xeon E5-2695 v2,115
Intel Xeon E5-2696 v2,120
Intel Xeon E5-2697 v2,130
Intel Xeon E5-4603 v2,95
Intel Xeon E5-4607 v2,95
Intel Xeon E5-4610 v2,95
Intel Xeon E5-4620 v2,95
Intel Xeon E5-4627 v2,130
Intel Xeon E5-4624L v2,70
Intel Xeon E5-4640 v2,95
Intel Xeon E5-4650 v2,95
Intel Xeon E5-4657L v2,115
Intel Xeon E7-2850 v2,105
Intel Xeon E7-2870 v2,130
Intel Xeon E7-2880 v2,130
Intel Xeon E7-2890 v2,155
Intel Xeon E7-4809 v2,105
Intel Xeon E7-4820 v2,105
Intel Xeon E7-4830 v2,105
Intel Xeon E7-4850 v2,105
Intel Xeon E7-4860 v2,130
Intel Xeon E7-4870 v2,130
Intel Xeon E7-4880 v2,130
Intel Xeon E7-4890 v2,155
Intel Xeon E7-8893 v2,155
Intel Xeon E7-8891 v2,155
Intel Xeon E7-8850 v2,105
Intel Xeon E7-8857 v2,130
Intel Xeon E7-8870 v2,130
Intel Xeon E7-8880 v2,130
Intel Xeon E7-8880L v2,105
Intel Xeon E7-8890 v2,155
Intel Xeon E7-8895 v2,155
Intel Xeon E-2104G,65
Intel Xeon E-2124,71
Intel Xeon E-2124G,71
Intel Xeon E-2126G,80
Intel Xeon E-2134,71
Intel Xeon E-2136,80
Intel Xeon E-2144G,71
Intel Xeon E-2146G,80
Intel Xeon E-2174G,71
Intel Xeon E-2176G,80
Intel Xeon E-2186G,95
Intel Xeon E-2224,71
Intel Xeon E-2224G,71
Intel Xeon E-2226G,80
Intel Xeon E-2234,71
Intel Xeon E-2236,80
Intel Xeon E-2244G,71
Intel Xeon E-2246G,80
Intel Xeon E-2274G,83
Intel Xeon E-2276G,80
Intel Xeon E-2278G,80
Intel Xeon E-2286G,95
Intel Xeon E-2288G,95
Intel Xeon E-2226GE,80
Intel Xeon E-2278GE,80
Intel Xeon E-2278GEL,35
Intel Xeon E-2176M,45
Intel Xeon E-2186M,45
Intel Xeon E-2276M,45
Intel Xeon E-2286M,45
Intel Xeon E-2254ME,45
Intel Xeon E-2276ME,45
Intel Xeon E-2254ML,25
Intel Xeon E-2276ML,25
Intel Xeon E3-1205 v6,65
Intel Xeon E3-1220 v6,72
Intel Xeon E3-1225 v6,73
Intel Xeon E3-1230 v6,72
Intel Xeon E3-1240 v6,72
Intel Xeon E3-1245 v6,73
Intel Xeon E3-1270 v6,72
Intel Xeon E3-1275 v6,73
Intel Xeon E3-1280 v6,72
Intel Xeon E3-1285 v6,79
Intel Xeon E3-1505M v6,45
Intel Xeon E3-1535M v6,45
Intel Xeon E3-1501M v6,45
Intel Xeon E3-1501L v6,25
Intel Xeon E3-1505L v6,25
Intel Xeon D-1513N,35
Intel Xeon D-1518,35
Intel Xeon D-1520,45
Intel Xeon D-1521,45
Intel Xeon D-1523N,45
Intel Xeon D-1527,35
Intel Xeon D-1529,20
Intel Xeon D-1528,35
Intel Xeon D-1531,45
Intel Xeon D-1533N,45
Intel Xeon D-1537,35
Intel Xeon D-1539,35
Intel Xeon D-1540,45
Intel Xeon D-1541,45
Intel Xeon D-1543N,45
Intel Xeon D-1548,45
Intel Xeon D-1553N,65
Intel Xeon D-1557,45
Intel Xeon D-1559,45
Intel Xeon D-1567,65
Intel Xeon D-1571,45
Intel Xeon D-1577,45
Intel Xeon D-1581,65
Intel Xeon D-1587,65
Intel Xeon D-1602,27
Intel Xeon D-1622,40
Intel Xeon D-1627,45
Intel Xeon D-1637,55
Intel Xeon D-1623N,35
Intel Xeon D-1633N,45
Intel Xeon D-1649N,45
Intel Xeon D-1653N,65
Intel Xeon E3-1285 v4,95
Intel Xeon E3-1258L v4,47
Intel Xeon E3-1265L v4,35
Intel Xeon E3-1270L v4,45
Intel Xeon E3-1278L v4,47
Intel Xeon E3-1283L v4,47
Intel Xeon E3-1284L v4,47
Intel Xeon E3-1285L v4,65
Intel Xeon E5-1603 v4,140
Intel Xeon E5-1607 v4,140
Intel Xeon E5-1620 v4,140
Intel Xeon E5-1630 v4,140
Intel Xeon E5-1650 v4,140
Intel Xeon E5-1660 v4,140
Intel Xeon E5-1680 v4,140
Intel Xeon E5-2623 v4,85
Intel Xeon E5-2637 v4,135
Intel Xeon E5-2603 v4,85
Intel Xeon E5-2643 v4,135
Intel Xeon E5-2608L v4,50
Intel Xeon E5-2609 v4,85
Intel Xeon E5-2620 v4,85
Intel Xeon E5-2667 v4,135
Intel Xeon E5-2689A v4,145
Intel Xeon E5-2618L v4,75
Intel Xeon E5-2630 v4,85
Intel Xeon E5-2630L v4,55
Intel Xeon E5-2640 v4,90
Intel Xeon E5-2689 v4,165
Intel Xeon E5-2628L v4,75
Intel Xeon E5-2650 v4,105
Intel Xeon E5-2666 v4,145
Intel Xeon E5-2687W v4,160
Intel Xeon E5-2648L v4,75
Intel Xeon E5-2650L v4,65
Intel Xeon E5-2658 v4,105
Intel Xeon E5-2660 v4,105
Intel Xeon E5-2680 v4,120
Intel Xeon E5-2690 v4,135
Intel Xeon AWS-1100 v4,145
Intel Xeon E5-2676 v4,145
Intel Xeon E5-2682 v4,120
Intel Xeon E5-2683 v4,120
Intel Xeon E5-2697A v4,145
Intel Xeon E5-2686 v4,145
Intel Xeon E5-2695 v4,120
Intel Xeon E5-2697 v4,145
Intel Xeon E5-2673 v4,135
Intel Xeon E5-2679 v4,200
Intel Xeon E5-2698 v4,135
Intel Xeon E5-2696 v4,150
Intel Xeon E5-2699 v4,145
Intel Xeon E5-2699A v4,145
Intel Xeon E5-2699C v4,145
Intel Xeon E5-2699R v4,145
Intel Xeon E5-2699P v4,300
Intel Xeon E5-4610 v4,105
Intel Xeon E5-4620 v4,105
Intel Xeon E5-4627 v4,135
Intel Xeon E5-4628L v4,75
Intel Xeon E5-4640 v4,105
Intel Xeon E5-4650 v4,105
Intel Xeon E5-4655 v4,135
Intel Xeon E5-4660 v4,120
Intel Xeon E5-4667 v4,135
Intel Xeon E5-4669 v4,135
Intel Xeon E7-4809 v4,115
Intel Xeon E7-4820 v4,115
Intel Xeon E7-4830 v4,115
Intel Xeon E7-4850 v4,115
Intel Xeon E7-8855 v4,140
Intel Xeon E7-8860 v4,140
Intel Xeon E7-8867 v4,165
Intel Xeon E7-8870 v4,140
Intel Xeon E7-8880 v4,150
Intel Xeon E7-8890 v4,165
Intel Xeon E7-8891 v4,165
Intel Xeon E7-8893 v4,140
Intel Xeon E7-8894 v4,165
Intel Xeon D-2141I,65
Intel Xeon D-2161I,90
Intel Xeon D-2191,86
Intel Xeon D-2123IT,60
Intel Xeon D-2142IT,65
Intel Xeon D-2143IT,65
Intel Xeon D-2163IT,75
Intel Xeon D-2173IT,70
Intel Xeon D-2183IT,100
Intel Xeon D-2145NT,65
Intel Xeon D-2146NT,80
Intel Xeon D-2166NT,85
Intel Xeon D-2177NT,105
Intel Xeon D-2187NT,110
Intel Xeon E3-1220 v5,80
Intel Xeon E3-1225 v5,80
Intel Xeon E3-1230 v5,80
Intel Xeon E3-1240 v5,80
Intel Xeon E3-1245 v5,80
Intel Xeon E3-1270 v5,80
Intel Xeon E3-1275 v5,80
Intel Xeon E3-1280 v5,80
Intel Xeon E3-1260L v5,45
Intel Xeon E3-1268L v5,35
Intel Xeon E3-1235L v5,25
Intel Xeon E3-1240L v5,25
Intel Xeon E3-1585 v5,65
Intel Xeon E3-1505M v5,45
Intel Xeon E3-1515M v5,45
Intel Xeon E3-1535M v5,45
Intel Xeon E3-1545M v5,45
Intel Xeon E3-1575M v5,45
Intel Xeon E3-1565L v5,35
Intel Xeon E3-1585L v5,45
Intel Xeon E3-1505L v5,25
Intel Xeon E3-1558L v5,45
Intel Xeon E3-1578L v5,45
Intel Xeon W-2102,120
Intel Xeon W-2104,120
Intel Xeon W-2123,120
Intel Xeon W-2125,120
Intel Xeon W-2133,140
Intel Xeon W-2135,140
Intel Xeon W-2140B,120
Intel Xeon W-2145,140
Intel Xeon W-2150B,120
Intel Xeon W-2155,140
Intel Xeon W-2175,140
Intel Xeon W-2191B,140
Intel Xeon W-2195,140
Intel Xeon W-3175X,255
Intel Xeon Bronze 3104,85
Intel Xeon Bronze 3106,85
Intel Xeon Silver 4106H,85
Intel Xeon Silver 4108,85
Intel Xeon Silver 4109T,70
Intel Xeon Silver 4110,85
Intel Xeon Silver 4112,85
Intel Xeon Silver 4114,85
Intel Xeon Silver 4114T,85
Intel Xeon Silver 4116,85
Intel Xeon Silver 4116T,85
Intel Xeon Silver 4123,105
Intel Xeon Gold 5115,85
Intel Xeon Gold 5117,105
Intel Xeon Gold 5117F,113
Intel Xeon Gold 5118,105
Intel Xeon Gold 5119T,85
Intel Xeon Gold 5120,105
Intel Xeon Gold 5120T,105
Intel Xeon Gold 5122,105
Intel Xeon Gold 6122,120
Intel Xeon Gold 6126,125
Intel Xeon Gold 6126F,135
Intel Xeon Gold 6126T,125
Intel Xeon Gold 6127M,145
Intel Xeon Gold 6128,115
Intel Xeon Gold 6130,125
Intel Xeon Gold 6130F,135
Intel Xeon Gold 6130T,125
Intel Xeon Gold 6130H,125
Intel Xeon Gold 6131,205
Intel Xeon Gold 6132,140
Intel Xeon Gold 6133,150
Intel Xeon Gold 6134,130
Intel Xeon Gold 6134M,130
Intel Xeon Gold 6135,155
Intel Xeon Gold 6135M,155
Intel Xeon Gold 6136,150
Intel Xeon Gold 6137,205
Intel Xeon Gold 6137M,205
Intel Xeon Gold 6138,125
Intel Xeon Gold 6138F,135
Intel Xeon Gold 6138P,195
Intel Xeon Gold 6138T,125
Intel Xeon Gold 6139,135
Intel Xeon Gold 6139M,135
Intel Xeon Gold 6140,140
Intel Xeon Gold 6140M,140
Intel Xeon Gold 6142,150
Intel Xeon Gold 6142F,160
Intel Xeon Gold 6142M,150
Intel Xeon Gold 6143,165
Intel Xeon Gold 6144,150
Intel Xeon Gold 6145,145
Intel Xeon Gold 6146,165
Intel Xeon Gold 6147M,150
Intel Xeon Gold 6148,150
Intel Xeon Gold 6148F,150
Intel Xeon Gold 6149,205
Intel Xeon Gold 6150,165
Intel Xeon Gold 6151,205
Intel Xeon Gold 6152,140
Intel Xeon Gold 6154,200
Intel Xeon Gold 6155,200
Intel Xeon Gold 6159,145
Intel Xeon Gold 6161,165
Intel Xeon Gold 6162,150
Intel Xeon Gold 6164,150
Intel Xeon Platinum P-8124,240
Intel Xeon Platinum 8124M,240
Intel Xeon Platinum P-8136,165
Intel Xeon Platinum 8151,240
Intel Xeon Platinum 8153,125
Intel Xeon Platinum 8156,105
Intel Xeon Platinum 8157M,145
Intel Xeon Platinum 8158,150
Intel Xeon Platinum 8160,150
Intel Xeon Platinum 8160F,160
Intel Xeon Platinum 8160H,150
Intel Xeon Platinum 8160M,150
Intel Xeon Platinum 8160T,150
Intel Xeon Platinum 8163,165
Intel Xeon Platinum 8164,150
Intel Xeon Platinum 8165,165
Intel Xeon Platinum 8167M,165
Intel Xeon Platinum 8168,205
Intel Xeon Platinum 8170,165
Intel Xeon Platinum 8170M,165
Intel Xeon Platinum 8171M,185
Intel Xeon Platinum 8172M,205
Intel Xeon Platinum 8173M,165
Intel Xeon Platinum 8174,240
Intel Xeon Platinum 8175M,240
Intel Xeon Platinum 8176,165
Intel Xeon Platinum 8176F,173
Intel Xeon Platinum 8176M,165
Intel Xeon Platinum 8179M,240
Intel Xeon Platinum 8180,205
Intel Xeon Platinum 8180M,205
Intel Core i3-530,73
Intel Core i3-540,73
Intel Core i3-550,73
Intel Core i3-560,73
Intel Core i3-2100,65
Intel Core i3-2102,65
Intel Core i3-2105,65
Intel Core i3-2125,65
Intel Core i3-2130,65
Intel Core i3-2120,65
Intel Core i3-2100T,35
Intel Core i3-2120T,35
Intel Core i3-3210,55
Intel Core i3-3225,55
Intel Core i3-3240,55
Intel Core i3-3245,55
Intel Core i3-3250,55
Intel Core i3-3220,55
Intel Core i3-3220T,35
Intel Core i3-3240T,35
Intel Core i3-3250T,35
Intel Core i3-4130,54
Intel Core i3-4150,54
Intel Core i3-4160,54
Intel Core i3-4170,54
Intel Core i3-4340,54
Intel Core i3-4350,54
Intel Core i3-4370,54
Intel Core i3-4330,54
Intel Core i3-4360,54
Intel Core i3-4130T,35
Intel Core i3-4150T,35
Intel Core i3-4160T,35
Intel Core i3-4170T,35
Intel Core i3-4330T,35
Intel Core i3-4360T,35
Intel Core i3-4370T,35
Intel Core i3-4350T,35
Intel Core i3-4330TE,35
Intel Core i3-4340TE,35
Intel Core i3-6098P,54
Intel Core i3-6100,51
Intel Core i3-6300,51
Intel Core i3-6320,51
Intel Core i3-6100T,35
Intel Core i3-6300T,35
Intel Core i3-6100TE,35
Intel Core i3-7100,51
Intel Core i3-7300,51
Intel Core i3-7320,51
Intel Core i3-7350K,60
Intel Core i3-7100T,35
Intel Core i3-7300T,35
Intel Core i3-7101E,54
Intel Core i3-7101TE,35
Intel Core i3-8100,65
Intel Core i3-8100F,65
Intel Core i3-8300,62
Intel Core i3-8350K,91
Intel Core i3-9100,65
Intel Core i3-9100F,65
Intel Core i3-9300,62
Intel Core i3-9320,62
Intel Core i3-9350K,91
Intel Core i3-9350KF,91
Intel Core i3-8100T,35
Intel Core i3-8300T,35
Intel Core i3-9100T,35
Intel Core i3-9300T,35
Intel Core i3-9100E,65
Intel Core i3-9100TE,35
Intel Core i3-9100HL,25
Intel Core i3-10100,65
Intel Core i3-10100F,65
Intel Core i3-10105,65
Intel Core i3-10105F,65
Intel Core i3-10300,65
Intel Core i3-10305,65
Intel Core i3-10320,65
Intel Core i3-10325,65
Intel Core i3-10100E,65
Intel Core i3-10100T,35
Intel Core i3-10105T,35
Intel Core i3-10300T,35
Intel Core i3-10305T,35
Intel Core i3-10100TE,35
Intel Core i3-330M,35
Intel Core i3-350M,35
Intel Core i3-370M,35
Intel Core i3-380M,35
Intel Core i3-390M,35
Intel Core i3-330E,35
Intel Core i3-330UM,18
Intel Core i3-380UM,18
Intel Core i3-2308M,35
Intel Core i3-2310M,35
Intel Core i3-2312M,35
Intel Core i3-2328M,35
Intel Core i3-2330M,35
Intel Core i3-2332M,35
Intel Core i3-2348M,35
Intel Core i3-2350M,35
Intel Core i3-2370M,35
Intel Core i3-2310E,35
Intel Core i3-2330E,35
Intel Core i3-2357M,17
Intel Core i3-2365M,17
Intel Core i3-2367M,17
Intel Core i3-2375M,17
Intel Core i3-2377M,17
Intel Core i3-2340UE,17
Intel Core i3-3110M,35
Intel Core i3-3120M,35
Intel Core i3-3130M,35
Intel Core i3-3120ME,35
Intel Core i3-3217U,17
Intel Core i3-3227U,17
Intel Core i3-3217UE,17
Intel Core i3-3229Y,13
Intel Core i3-4000M,37
Intel Core i3-4010M,37
Intel Core i3-4100M,37
Intel Core i3-4110M,37
Intel Core i3-4158U,28
Intel Core i3-4005U,15
Intel Core i3-4010U,15
Intel Core i3-4025U,15
Intel Core i3-4030U,15
Intel Core i3-4100U,15
Intel Core i3-4120U,15
Intel Core i3-4010Y,11.5
Intel Core i3-4012Y,11.5
Intel Core i3-4020Y,11.5
Intel Core i3-4030Y,11.5
Intel Core i3-4100E,37
Intel Core i3-4110E,37
Intel Core i3-4102E,25
Intel Core i3-4112E,25
Intel Core i3-5157U,28
Intel Core i3-5005U,15
Intel Core i3-5010U,15
Intel Core i3-5015U,15
Intel Core i3-5020U,15
Intel Core i3-6100H,35
Intel Core i3-6100E,35
Intel Core i3-6102E,25
Intel Core i3-6157U,28
Intel Core i3-6167U,28
Intel Core i3-6006U,15
Intel Core i3-6100U,15
Intel Core i3-7100H,35
Intel Core i3-7100E,35
Intel Core i3-7102E,25
Intel Core i3-7167U,28
Intel Core i3-7020U,15
Intel Core i3-7100U,15
Intel Core i3-7130U,15
Intel Core i3-8130U,15
Intel Core i3-10100Y,5
Intel Core i3-8100B,65
Intel Core i3-8100H,45
Intel Core i3-8109U,28
Intel Core i3-8140U,15
Intel Core i3-8145U,15
Intel Core i3-8145UE,15
Intel Core i3-10110Y,7
Intel Core i3-8121U,15
Intel Core i3-10110U,15
Intel Core i3-1005G1,15
Intel Core i3-1000G1,9
Intel Core i3-1000G4,9
Intel Core i3-1000NG4,9
Intel Core i3-11100HE ,45
Intel Core i3-1115G4,15
Intel Core i3-1125G4,15
Intel Core i3-1115G4E,15
Intel Core i3-1115GRE,15
Intel Core i3-1110G4,15
Intel Core i3-1120G4,15
Intel Core i3-2115C,25
