Model,TDP
AMD Ryzen 3 PRO 1300,65.0
AMD Ryzen 5 PRO 2500U,15.0
AMD Ryzen 3 PRO 2200G with Radeon Vega 8 Graphics,65.0
AMD Ryzen 3 PRO 2200GE with Radeon Vega 8 Graphics,35.0
AMD Ryzen 3 PRO 1200,65.0
AMD Ryzen 3 PRO 2300U,15.0
7th Gen A12-9800 APU,65.0
7th Gen A12-9800E APU,35.0
7th Gen A10-9700 APU,65.0
7th Gen A10-9700E APU,35.0
7th Gen A8-9600 APU,65.0
7th Gen A12-9730P APU,35.0
7th Gen A12-9700P APU,15.0
7th Gen A10-9630P APU,35.0
7th Gen A10-9600P APU,15.0
7th Gen AMD PRO A12-9800 APU,65.0
7th Gen AMD PRO A12-9800E APU,35.0
7th Gen AMD PRO A10-9700 APU,65.0
7th Gen AMD PRO A10-9700E APU,35.0
7th Gen AMD PRO A8-9600 APU,65.0
7th Gen AMD PRO A12-9830B APU,35.0
7th Gen AMD PRO A12-9800B APU,15.0
7th Gen AMD PRO A10-9730B APU,35.0
7th Gen AMD PRO A10-9700B APU,15.0
7th Gen AMD PRO A8-9630B,35.0
7th Gen AMD PRO A8-9600B APU,15.0
7th Gen FX 9830P APU,35.0
7th Gen FX 9800P APU,15.0
6th Gen A10-8700P APU,15.0
6th Gen A8-8600P APU,15.0
6th Gen AMD PRO A12-8870 APU,65.0
6th Gen AMD PRO A12-8870E APU,35.0
6th Gen AMD PRO A10-8850B APU,95.0
6th Gen AMD PRO A10-8770 APU,65.0
6th Gen AMD PRO A10-8770E APU,35.0
6th Gen AMD PRO A10-8750B APU,65.0
6th Gen AMD PRO A8-8650B APU,65.0
6th Gen AMD PRO A12-8800B APU,15.0
6th Gen AMD PRO A10-8700B APU,15.0
6th Gen AMD PRO A8-8600B APU,15.0
6th Gen FX-8800P APU,15.0
A10-7890K with Radeon R7 Graphics and Wraith cooler,95.0
A10-7870K with Radeon R7 Series,95.0
A10-7870K with Radeon R7 Graphics and Near Silent Thermal Solution,95.0
A10-7860K with Radeon R7 Series,65.0
A10-7860K with Radeon R7 Graphics and Near Silent Thermal Solution,65.0
A10-7850K with Radeon R7 Series,95.0
A10-6800K with Radeon HD 8670D,100.0
A10-6790K with Radeon HD 8670D,100.0
A10-6700 with Radeon HD 8670D,65.0
A10-6700T with Radeon HD 8650D,45.0
A8-7670K with Radeon R7 Graphics and Near Silent Thermal Solution,95.0
A8-7650K with Radeon R7 Series,95.0
A8-7650K with Radeon R7 Graphics and Near Silent Thermal Solution,95.0
A8-7600 with Radeon R7 Series,65.0
A8-6600K with Radeon HD 8570D,65.0
A8-6500 with Radeon HD 8570D,65.0
A8-6500T with Radeon HD 8550D,45.0
A6-6310 with Radeon R4 Graphics,25.0
A6-5200 with Radeon HD 8400,25.0
A4-5100 with Radeon HD 8330,15.0
A4-5000 with Radeon HD 8330,15.0
A10-7400P with Radeon R6 Graphics,35.0
A10-7300 with Radeon R6 Graphics,20.0
A10 Micro-6700T with Radeon R6 Graphics,4.5
A8-7410 with Radeon R5 Graphics,15.0
A8-7200P with Radeon R5 Graphics,100.0
A8-7100 with Radeon R5 Graphics,20.0
A8-6410 with Radeon R5 Graphics,15.0
FX-4350,125.0
FX-4320,95.0
FX-4300,95.0
FX-4170,125.0
FX-4130,125.0
FX-4100,95.0
980,125.0
A6-7310 with Radeon R4 Graphics,15.0
975,125.0
A6-7310 with Radeon R4 Graphics,15.0
965,80.0
960T,95.0
A6-6310 with Radeon R4 Graphics,15.0
850,95.0
840,95.0
A6-5200M with Radeon HD 8400,25.0
X940,45.0
N970,35.0
N960,35.0
A4-7210 with Radeon R3 Graphics,65.0
A4 Micro-6400T with Radeon R3 Graphics,4.5
A4-6210 with Radeon R3 Graphics,15.0
B99,95.0
B97,95.0
A4-5100 with Radeon HD 8330,15.0
A4-5000 with Radeon HD 8330,15.0
641,100.0
638,65.0
631,100.0
631,65.0
620e,45.0
7th Gen AMD Athlon X4 970,65.0
880K with Near Silent Thermal Solution,95.0
A4-7210 with Radeon R3 Graphics,65.0
870K with Near Silent Thermal Solution,95.0
A10-6800B with Radeon HD 8670D,45.0
860K,95.0
A10-6790B with Radeon HD 8670D,45.0
860K with Near Silent Thermal Solution,95.0
A8-6500B with Radeon HD 8570D,65.0
760K,100.0
750,65.0
750K,100.0
740,65.0
X1150,17.0
A10 PRO-7850B with Radeon R7 Graphics,95.0
A10 PRO-7800B with Radeon R7 Graphics,65.0
A8 PRO-7600B with Radeon R7 Graphics,65.0
A10 PRO-7350B with Radeon R6 Graphics,19.0
A8 PRO-7150B with Radeon R5 Graphics,100.0
A4 PRO-3350B with Radeon R4 Graphics,15.0
6308,115.0
A4 PRO-3340B with Radeon HD 8240 Graphics,25.0
FX-7600P with Radeon R7 Graphics,35.0
FX-7500 with Radeon R7 Graphics,20.0
Athlon 5370 APU with Radeon R3 Series,25.0
Athlon 5350 APU with Radeon R3 Series,25.0
Athlon 5150 APU with Radeon R3 Series,25.0
Sempron 3850 APU with Radeon R3 Series,25.0
E2-7110 with Radeon R2 Graphics,65.0
E2-7110 with Radeon R2 Graphics,65.0
E2-6110 with Radeon R2 Graphics,15.0
E2-3800 with Radeon HD 8280,15.0
6204,115.0
E2-7110 with Radeon R2 Graphics,65.0
3350 HE,45.0
3320 EE,25.0
3260 HE,45.0
AMD Opteron X2170,25.0
AMD Opteron X2150 APU,22.0
AMD Ryzen 5 5600X,65.0
AMD Ryzen 5 3600XT,95.0
AMD Ryzen 5 5600H,45.0
AMD Ryzen 5 5600HS,35.0
AMD Ryzen 5 5600U,15.0
AMD Ryzen 5 5500U,15.0
AMD Ryzen 5 3600X,95.0
AMD Ryzen 5 5600G,65.0
AMD Ryzen 5 5600GE,35.0
AMD Ryzen 5 3600,65.0
AMD Ryzen 5 4600G ,65.0
AMD Ryzen 5 3500 Processor ,65.0
AMD Ryzen 5 4600GE ,35.0
AMD Ryzen 5 4600H,45.0
AMD Ryzen 5 4600U,15.0
AMD Ryzen 5 4500U,15.0
AMD Ryzen 5 4680U Microsoft Surface Edition,15.0
AMD Ryzen 5 2600X,95.0
AMD Ryzen 5 2600,65.0
AMD Ryzen 5 2600E,45.0
AMD Ryzen 5 PRO 5650G,65.0
AMD Ryzen 5 PRO 5650GE,35.0
AMD Ryzen 5 PRO 5650U,15.0
AMD Ryzen 5 PRO 3600,65.0
AMD Ryzen 5 1600X,95.0
AMD Ryzen 5 PRO 4650G,65.0
AMD Ryzen 5 PRO 4650GE,35.0
AMD Ryzen 5 1600,65.0
